Name,ExpectedLocations,Path
commfunc.dll,%programfiles%\lenovo\communications utility,cammute.exe
log.dll,%programfiles%\bitdefender antivirus free,%programfiles%\bitdefender antivirus free\bdreinit.exe
utiluniclient.dll,,%programfiles%\trend micro\amsp\coreserviceshell.exe
tmtap.dll,,%programfiles%\trend micro\passwordmanager\pwmsvc.exe
mozglue.dll,%programfiles%\seamonkey,%programfiles%\seamonkey\seamonkey.exe
mozglue.dll,%programfiles%\mozilla\firefox,%programfiles%\seamonkey\seamonkey.exe
mozglue.dll,%programfiles%\mozilla thunderbird,%programfiles%\seamonkey\seamonkey.exe
vftrace.dll,%programfiles%\cyberark\endpoint privilege manager\agent\x32,vf_host.exe
vftrace.dll,%programfiles%\cyberark\endpoint privilege manager\agent\x64,vf_host.exe
vftrace.dll,%programfiles%\cyberark\endpoint privilege manager\agent,vf_host.exe
python39.dll,%programfiles%\python39,python39.exe
python39.dll,%localappdata%\temp\%version%,python39.exe
python39.dll,%programfiles%\microsoft visual studio\2022\community\common7\ide\commonextensions\microsoft\vc\securityissueanalysis\python,python39.exe
python39.dll,%userprofile%\anaconda3,python39.exe
chrome_frame_helper.dll,%localappdata%\google\chrome\application,chrome_frame_helper.exe
chrome_frame_helper.dll,%programfiles%\google\chrome\application,chrome_frame_helper.exe
tosbtkbd.dll,%programfiles%\toshiba\bluetooth toshiba stack,%programfiles%\toshiba\bluetooth toshiba stack\tosbtkbd.exe
ciscosparklauncher.dll,%localappdata%\ciscosparklauncher,ciscocollabhost.exe
lockdown.dll,%programfiles%\mcafee\virusscan enterprise,mfeann.exe
vsodscpl.dll,%programfiles%\mcafee\virusscan enterprise,scncfg32.exe
ashldres.dll,%programfiles%\mcafee.com\vso,mcvsshld.exe
wsc.dll,%programfiles%\avast software\avast,wsc_proxy.exe
libvlc.dll,%programfiles%\videolan\vlc,%programfiles%\videolan\vlc\vlc.exe
qrt.dll,%programfiles%\f-secure\anti-virus,qrtfix.exe
providers.dll,,%programfiles%\nodejs\node.exe
shfolder.dll,%system32%,%system32%\vmnat.exe
shfolder.dll,%syswow64%,%system32%\vmnat.exe
wlbsctrl.dll,,%system32%\svchost.exe
bderepair.dll,%system32%,%system32%\repair-bde.exe
msdrm.dll,%system32%,%system32%\gamepanel.exe
msdrm.dll,%syswow64%,%system32%\gamepanel.exe
msdrm.dll,%system32%,%system32%\psr.exe
msdrm.dll,%syswow64%,%system32%\psr.exe
msdrm.dll,%system32%,%system32%\rmactivate.exe
msdrm.dll,%syswow64%,%system32%\rmactivate.exe
msdrm.dll,%system32%,%system32%\rmactivate_isv.exe
msdrm.dll,%syswow64%,%system32%\rmactivate_isv.exe
msdrm.dll,%system32%,%system32%\snippingtool.exe
msdrm.dll,%syswow64%,%system32%\snippingtool.exe
defragproxy.dll,%system32%,%system32%\dfrgui.exe
defragproxy.dll,%syswow64%,%system32%\dfrgui.exe
iri.dll,%system32%,%system32%\deviceenroller.exe
iri.dll,%syswow64%,%system32%\deviceenroller.exe
iri.dll,%system32%,%system32%\dmcertinst.exe
iri.dll,%syswow64%,%system32%\dmcertinst.exe
iri.dll,%system32%,%system32%\dmcfghost.exe
iri.dll,%syswow64%,%system32%\dmcfghost.exe
iri.dll,%system32%,%system32%\dmomacpmo.exe
iri.dll,%syswow64%,%system32%\dmomacpmo.exe
iri.dll,%system32%,%system32%\hvsievaluator.exe
iri.dll,%syswow64%,%system32%\hvsievaluator.exe
iri.dll,%system32%,%system32%\mdmappinstaller.exe
iri.dll,%syswow64%,%system32%\mdmappinstaller.exe
iri.dll,%system32%,%system32%\mdmdiagnosticstool.exe
iri.dll,%syswow64%,%system32%\mdmdiagnosticstool.exe
iri.dll,%system32%,%system32%\omadmclient.exe
iri.dll,%syswow64%,%system32%\omadmclient.exe
iri.dll,%system32%,%system32%\usocoreworker.exe
iri.dll,%syswow64%,%system32%\usocoreworker.exe
mobilenetworking.dll,%system32%,%system32%\mbaeparsertask.exe
mobilenetworking.dll,%syswow64%,%system32%\mbaeparsertask.exe
mobilenetworking.dll,%system32%,%system32%\netsh.exe
mobilenetworking.dll,%syswow64%,%system32%\netsh.exe
scansetting.dll,%system32%,%system32%\wiaacmgr.exe
scansetting.dll,%syswow64%,%system32%\wiaacmgr.exe
scansetting.dll,%system32%,%system32%\wiawow64.exe
scansetting.dll,%syswow64%,%system32%\wiawow64.exe
dusmapi.dll,%system32%,%system32%\datausagelivetiletask.exe
dusmapi.dll,%syswow64%,%system32%\datausagelivetiletask.exe
eappprxy.dll,%system32%,%system32%\netsh.exe
eappprxy.dll,%syswow64%,%system32%\netsh.exe
mpr.dll,%system32%,%system32%\bootcfg.exe
mpr.dll,%syswow64%,%system32%\bootcfg.exe
mpr.dll,%system32%,%system32%\dcdiag.exe
mpr.dll,%syswow64%,%system32%\dcdiag.exe
mpr.dll,%system32%,%system32%\dfsrdiag.exe
mpr.dll,%syswow64%,%system32%\dfsrdiag.exe
mpr.dll,%system32%,%system32%\driverquery.exe
mpr.dll,%syswow64%,%system32%\driverquery.exe
mpr.dll,%system32%,%system32%\dsmgmt.exe
mpr.dll,%syswow64%,%system32%\dsmgmt.exe
mpr.dll,%system32%,%system32%\eventcreate.exe
mpr.dll,%syswow64%,%system32%\eventcreate.exe
mpr.dll,%system32%,%system32%\filehistory.exe
mpr.dll,%syswow64%,%system32%\filehistory.exe
mpr.dll,%system32%,%system32%\getmac.exe
mpr.dll,%syswow64%,%system32%\getmac.exe
mpr.dll,%system32%,%system32%\gpresult.exe
mpr.dll,%syswow64%,%system32%\gpresult.exe
mpr.dll,%system32%,%system32%\iesettingsync.exe
mpr.dll,%syswow64%,%system32%\iesettingsync.exe
mpr.dll,%system32%,%system32%\net.exe
mpr.dll,%syswow64%,%system32%\net.exe
mpr.dll,%system32%,%system32%\ntdsutil.exe
mpr.dll,%syswow64%,%system32%\ntdsutil.exe
mpr.dll,%system32%,%system32%\openfiles.exe
mpr.dll,%syswow64%,%system32%\openfiles.exe
mpr.dll,%system32%,%system32%\pnpunattend.exe
mpr.dll,%syswow64%,%system32%\pnpunattend.exe
mpr.dll,%system32%,%system32%\rdpclip.exe
mpr.dll,%syswow64%,%system32%\rdpclip.exe
mpr.dll,%system32%,%system32%\rekeywiz.exe
mpr.dll,%syswow64%,%system32%\rekeywiz.exe
mpr.dll,%system32%,%system32%\repadmin.exe
mpr.dll,%syswow64%,%system32%\repadmin.exe
mpr.dll,%system32%,%system32%\sdclt.exe
mpr.dll,%syswow64%,%system32%\sdclt.exe
mpr.dll,%system32%,%system32%\setupugc.exe
mpr.dll,%syswow64%,%system32%\setupugc.exe
mpr.dll,%system32%,%system32%\systeminfo.exe
mpr.dll,%syswow64%,%system32%\systeminfo.exe
mpr.dll,%system32%,%system32%\taskkill.exe
mpr.dll,%syswow64%,%system32%\taskkill.exe
mpr.dll,%system32%,%system32%\waitfor.exe
mpr.dll,%syswow64%,%system32%\waitfor.exe
msi.dll,%system32%,%system32%\dxpserver.exe
msi.dll,%syswow64%,%system32%\dxpserver.exe
msi.dll,%system32%,%system32%\fondue.exe
msi.dll,%syswow64%,%system32%\fondue.exe
msi.dll,%system32%,%system32%\mdmappinstaller.exe
msi.dll,%syswow64%,%system32%\mdmappinstaller.exe
msi.dll,%system32%,%system32%\msiexec.exe
